Date, Open, High, Low, Close
09/07/17, 1827.27, 1827.27, 1827.27, 1827.27
09/06/17, 1828.39, 1828.39, 1828.39, 1828.39
09/05/17, 1823.25, 1823.25, 1823.25, 1823.25
09/01/17, 1837.94, 1837.94, 1837.94, 1837.94
08/31/17, 1833.40, 1833.40, 1833.40, 1833.40
08/30/17, 1821.56, 1821.56, 1821.56, 1821.56
08/29/17, 1812.41, 1812.41, 1812.41, 1812.41
08/28/17, 1811.21, 1811.21, 1811.21, 1811.21
08/25/17, 1810.27, 1810.27, 1810.27, 1810.27
08/24/17, 1807.03, 1807.03, 1807.03, 1807.03
08/23/17, 1809.56, 1809.56, 1809.56, 1809.56
08/22/17, 1815.05, 1815.05, 1815.05, 1815.05
08/21/17, 1797.12, 1797.12, 1797.12, 1797.12
08/18/17, 1795.39, 1795.39, 1795.39, 1795.39
08/17/17, 1798.54, 1798.54, 1798.54, 1798.54
08/16/17, 1826.96, 1826.96, 1826.96, 1826.96
08/15/17, 1824.08, 1824.08, 1824.08, 1824.08
08/14/17, 1826.55, 1826.55, 1826.55, 1826.55
08/11/17, 1807.67, 1807.67, 1807.67, 1807.67
08/10/17, 1805.02, 1805.02, 1805.02, 1805.02
08/09/17, 1832.13, 1832.13, 1832.13, 1832.13
08/08/17, 1834.89, 1834.89, 1834.89, 1834.89
08/07/17, 1839.61, 1839.61, 1839.61, 1839.61
08/04/17, 1836.95, 1836.95, 1836.95, 1836.95
08/03/17, 1832.77, 1832.77, 1832.77, 1832.77
08/02/17, 1836.91, 1836.91, 1836.91, 1836.91
08/01/17, 1838.87, 1838.87, 1838.87, 1838.87
07/31/17, 1834.59, 1834.59, 1834.59, 1834.59
07/28/17, 1836.26, 1836.26, 1836.26, 1836.26
07/27/17, 1839.03, 1839.03, 1839.03, 1839.03
07/26/17, 1842.29, 1842.29, 1842.29, 1842.29
07/25/17, 1843.22, 1843.22, 1843.22, 1843.22
07/24/17, 1836.80, 1836.80, 1836.80, 1836.80
07/21/17, 1837.75, 1837.75, 1837.75, 1837.75
07/20/17, 1839.10, 1839.10, 1839.10, 1839.10
07/19/17, 1839.40, 1839.40, 1839.40, 1839.40
07/18/17, 1828.39, 1828.39, 1828.39, 1828.39
07/17/17, 1828.07, 1828.07, 1828.07, 1828.07
07/14/17, 1827.83, 1827.83, 1827.83, 1827.83
07/13/17, 1819.83, 1819.83, 1819.83, 1819.83
07/12/17, 1816.68, 1816.68, 1816.68, 1816.68
07/11/17, 1803.36, 1803.36, 1803.36, 1803.36
07/10/17, 1803.64, 1803.64, 1803.64, 1803.64
07/07/17, 1803.26, 1803.26, 1803.26, 1803.26
07/06/17, 1790.78, 1790.78, 1790.78, 1790.78
07/05/17, 1808.97, 1808.97, 1808.97, 1808.97
07/03/17, 1807.98, 1807.98, 1807.98, 1807.98
06/30/17, 1802.83, 1802.83, 1802.83, 1802.83
06/29/17, 1800.22, 1800.22, 1800.22, 1800.22
06/28/17, 1815.57, 1815.57, 1815.57, 1815.57
06/27/17, 1798.63, 1798.63, 1798.63, 1798.63
06/26/17, 1813.77, 1813.77, 1813.77, 1813.77
06/23/17, 1812.57, 1812.57, 1812.57, 1812.57
06/22/17, 1808.11, 1808.11, 1808.11, 1808.11
06/21/17, 1807.95, 1807.95, 1807.95, 1807.95
06/20/17, 1809.69, 1809.69, 1809.69, 1809.69
06/19/17, 1822.75, 1822.75, 1822.75, 1822.75
06/16/17, 1807.93, 1807.93, 1807.93, 1807.93
06/15/17, 1807.82, 1807.82, 1807.82, 1807.82
06/14/17, 1812.63, 1812.63, 1812.63, 1812.63
06/13/17, 1815.41, 1815.41, 1815.41, 1815.41
06/12/17, 1806.46, 1806.46, 1806.46, 1806.46
06/09/17, 1808.06, 1808.06, 1808.06, 1808.06
06/08/17, 1808.94, 1808.94, 1808.94, 1808.94
06/07/17, 1806.10, 1806.10, 1806.10, 1806.10
06/06/17, 1803.68, 1803.68, 1803.68, 1803.68
06/05/17, 1808.67, 1808.67, 1808.67, 1808.67
06/02/17, 1812.11, 1812.11, 1812.11, 1812.11
06/01/17, 1805.22, 1805.22, 1805.22, 1805.22
05/31/17, 1788.94, 1788.94, 1788.94, 1788.94
05/30/17, 1789.40, 1789.40, 1789.40, 1789.40
05/26/17, 1793.00, 1793.00, 1793.00, 1793.00
05/25/17, 1792.73, 1792.73, 1792.73, 1792.73
05/24/17, 1785.73, 1785.73, 1785.73, 1785.73
05/23/17, 1781.17, 1781.17, 1781.17, 1781.17
05/22/17, 1777.97, 1777.97, 1777.97, 1777.97
05/19/17, 1768.37, 1768.37, 1768.37, 1768.37
05/18/17, 1756.41, 1756.41, 1756.41, 1756.41
05/17/17, 1750.03, 1750.03, 1750.03, 1750.03
05/16/17, 1783.68, 1783.68, 1783.68, 1783.68
05/15/17, 1784.88, 1784.88, 1784.88, 1784.88
05/12/17, 1775.59, 1775.59, 1775.59, 1775.59
05/11/17, 1779.05, 1779.05, 1779.05, 1779.05
05/10/17, 1784.09, 1784.09, 1784.09, 1784.09
05/09/17, 1781.09, 1781.09, 1781.09, 1781.09
05/08/17, 1782.63, 1782.63, 1782.63, 1782.63
05/05/17, 1784.03, 1784.03, 1784.03, 1784.03
05/04/17, 1775.52, 1775.52, 1775.52, 1775.52
05/03/17, 1775.46, 1775.46, 1775.46, 1775.46
05/02/17, 1779.33, 1779.33, 1779.33, 1779.33
05/01/17, 1778.69, 1778.69, 1778.69, 1778.69
04/28/17, 1774.81, 1774.81, 1774.81, 1774.81
04/27/17, 1780.49, 1780.49, 1780.49, 1780.49
04/26/17, 1779.53, 1779.53, 1779.53, 1779.53
04/25/17, 1779.39, 1779.39, 1779.39, 1779.39
04/24/17, 1768.15, 1768.15, 1768.15, 1768.15
04/21/17, 1749.15, 1749.15, 1749.15, 1749.15
04/20/17, 1754.42, 1754.42, 1754.42, 1754.42
04/19/17, 1740.57, 1740.57, 1740.57, 1740.57
04/18/17, 1742.23, 1742.23, 1742.23, 1742.23
04/17/17, 1746.36, 1746.36, 1746.36, 1746.36
04/13/17, 1730.80, 1730.80, 1730.80, 1730.80
04/12/17, 1743.23, 1743.23, 1743.23, 1743.23
04/11/17, 1751.87, 1751.87, 1751.87, 1751.87
04/10/17, 1752.51, 1752.51, 1752.51, 1752.51
04/07/17, 1750.68, 1750.68, 1750.68, 1750.68
04/06/17, 1752.01, 1752.01, 1752.01, 1752.01
04/05/17, 1746.69, 1746.69, 1746.69, 1746.69
04/04/17, 1753.94, 1753.94, 1753.94, 1753.94
04/03/17, 1753.21, 1753.21, 1753.21, 1753.21
03/31/17, 1758.11, 1758.11, 1758.11, 1758.11
03/30/17, 1760.88, 1760.88, 1760.88, 1760.88
03/29/17, 1755.00, 1755.00, 1755.00, 1755.00
03/28/17, 1752.41, 1752.41, 1752.41, 1752.41
03/27/17, 1739.73, 1739.73, 1739.73, 1739.73
03/24/17, 1740.88, 1740.88, 1740.88, 1740.88
03/23/17, 1741.92, 1741.92, 1741.92, 1741.92
03/22/17, 1742.38, 1742.38, 1742.38, 1742.38
03/21/17, 1739.52, 1739.52, 1739.52, 1739.52
03/20/17, 1764.58, 1764.58, 1764.58, 1764.58
03/17/17, 1769.03, 1769.03, 1769.03, 1769.03
03/16/17, 1770.20, 1770.20, 1770.20, 1770.20
03/15/17, 1772.22, 1772.22, 1772.22, 1772.22
03/14/17, 1756.01, 1756.01, 1756.01, 1756.01
03/13/17, 1762.40, 1762.40, 1762.40, 1762.40
03/10/17, 1760.92, 1760.92, 1760.92, 1760.92
03/09/17, 1755.03, 1755.03, 1755.03, 1755.03
03/08/17, 1754.96, 1754.96, 1754.96, 1754.96
03/07/17, 1759.94, 1759.94, 1759.94, 1759.94
03/06/17, 1766.07, 1766.07, 1766.07, 1766.07
03/03/17, 1772.91, 1772.91, 1772.91, 1772.91
03/02/17, 1771.96, 1771.96, 1771.96, 1771.96
03/01/17, 1783.98, 1783.98, 1783.98, 1783.98
02/28/17, 1759.55, 1759.55, 1759.55, 1759.55
02/27/17, 1766.83, 1766.83, 1766.83, 1766.83
02/24/17, 1762.99, 1762.99, 1762.99, 1762.99
02/23/17, 1760.49, 1760.49, 1760.49, 1760.49
02/22/17, 1761.62, 1761.62, 1761.62, 1761.62
02/21/17, 1764.46, 1764.46, 1764.46, 1764.46
02/17/17, 1753.48, 1753.48, 1753.48, 1753.48
02/16/17, 1750.56, 1750.56, 1750.56, 1750.56
02/15/17, 1752.68, 1752.68, 1752.68, 1752.68
02/14/17, 1744.13, 1744.13, 1744.13, 1744.13
02/13/17, 1737.47, 1737.47, 1737.47, 1737.47
02/10/17, 1729.16, 1729.16, 1729.16, 1729.16
02/09/17, 1722.44, 1722.44, 1722.44, 1722.44
02/08/17, 1710.90, 1710.90, 1710.90, 1710.90
02/07/17, 1709.79, 1709.79, 1709.79, 1709.79
02/06/17, 1710.31, 1710.31, 1710.31, 1710.31
02/03/17, 1714.81, 1714.81, 1714.81, 1714.81
02/02/17, 1700.91, 1700.91, 1700.91, 1700.91
02/01/17, 1700.04, 1700.04, 1700.04, 1700.04
01/31/17, 1700.13, 1700.13, 1700.13, 1700.13
01/30/17, 1699.60, 1699.60, 1699.60, 1699.60
01/27/17, 1711.33, 1711.33, 1711.33, 1711.33
01/26/17, 1713.69, 1713.69, 1713.69, 1713.69
01/25/17, 1715.73, 1715.73, 1715.73, 1715.73
01/24/17, 1701.94, 1701.94, 1701.94, 1701.94
01/23/17, 1688.73, 1688.73, 1688.73, 1688.73
01/20/17, 1693.11, 1693.11, 1693.11, 1693.11
01/19/17, 1687.43, 1687.43, 1687.43, 1687.43
01/18/17, 1694.50, 1694.50, 1694.50, 1694.50
01/17/17, 1690.54, 1690.54, 1690.54, 1690.54
01/13/17, 1697.75, 1697.75, 1697.75, 1697.75
01/12/17, 1693.25, 1693.25, 1693.25, 1693.25
01/11/17, 1697.78, 1697.78, 1697.78, 1697.78
01/10/17, 1693.32, 1693.32, 1693.32, 1693.32
01/09/17, 1691.25, 1691.25, 1691.25, 1691.25
01/06/17, 1697.89, 1697.89, 1697.89, 1697.89
01/05/17, 1693.17, 1693.17, 1693.17, 1693.17
01/04/17, 1696.43, 1696.43, 1696.43, 1696.43
01/03/17, 1683.48, 1683.48, 1683.48, 1683.48
12/30/16, 1669.74, 1669.74, 1669.74, 1669.74
12/29/16, 1677.17, 1677.17, 1677.17, 1677.17
12/28/16, 1677.20, 1677.20, 1677.20, 1677.20
12/27/16, 1692.22, 1692.22, 1692.22, 1692.22
12/23/16, 1688.03, 1688.03, 1688.03, 1688.03
12/22/16, 1684.71, 1684.71, 1684.71, 1684.71
12/21/16, 1689.48, 1689.48, 1689.48, 1689.48
12/20/16, 1694.32, 1694.32, 1694.32, 1694.32
12/19/16, 1687.36, 1687.36, 1687.36, 1687.36
12/16/16, 1683.33, 1683.33, 1683.33, 1683.33
12/15/16, 1685.93, 1685.93, 1685.93, 1685.93
12/14/16, 1679.04, 1679.04, 1679.04, 1679.04
12/13/16, 1694.00, 1694.00, 1694.00, 1694.00
12/12/16, 1684.46, 1684.46, 1684.46, 1684.46
12/09/16, 1688.59, 1688.59, 1688.59, 1688.59
12/08/16, 1680.53, 1680.53, 1680.53, 1680.53
12/07/16, 1674.40, 1674.40, 1674.40, 1674.40
12/06/16, 1653.79, 1653.79, 1653.79, 1653.79
12/05/16, 1646.26, 1646.26, 1646.26, 1646.26
12/02/16, 1634.44, 1634.44, 1634.44, 1634.44
12/01/16, 1633.69, 1633.69, 1633.69, 1633.69
11/30/16, 1640.50, 1640.50, 1640.50, 1640.50
11/29/16, 1644.79, 1644.79, 1644.79, 1644.79
11/28/16, 1642.98, 1642.98, 1642.98, 1642.98
11/25/16, 1653.27, 1653.27, 1653.27, 1653.27
11/23/16, 1646.83, 1646.83, 1646.83, 1646.83
11/22/16, 1644.31, 1644.31, 1644.31, 1644.31
11/21/16, 1639.54, 1639.54, 1639.54, 1639.54
11/18/16, 1627.74, 1627.74, 1627.74, 1627.74
11/17/16, 1630.55, 1630.55, 1630.55, 1630.55
11/16/16, 1622.46, 1622.46, 1622.46, 1622.46
11/15/16, 1624.82, 1624.82, 1624.82, 1624.82
11/14/16, 1613.46, 1613.46, 1613.46, 1613.46
11/11/16, 1609.97, 1609.97, 1609.97, 1609.97
11/10/16, 1608.08, 1608.08, 1608.08, 1608.08
11/09/16, 1603.78, 1603.78, 1603.78, 1603.78
11/08/16, 1583.38, 1583.38, 1583.38, 1583.38
11/07/16, 1577.66, 1577.66, 1577.66, 1577.66
11/04/16, 1543.42, 1543.42, 1543.42, 1543.42
11/03/16, 1544.55, 1544.55, 1544.55, 1544.55
11/02/16, 1551.47, 1551.47, 1551.47, 1551.47
11/01/16, 1563.21, 1563.21, 1563.21, 1563.21
10/31/16, 1574.64, 1574.64, 1574.64, 1574.64
10/28/16, 1573.69, 1573.69, 1573.69, 1573.69
10/27/16, 1577.99, 1577.99, 1577.99, 1577.99
10/26/16, 1584.70, 1584.70, 1584.70, 1584.70
10/25/16, 1588.81, 1588.81, 1588.81, 1588.81
10/24/16, 1596.23, 1596.23, 1596.23, 1596.23
10/21/16, 1588.47, 1588.47, 1588.47, 1588.47
10/20/16, 1588.80, 1588.80, 1588.80, 1588.80
10/19/16, 1591.43, 1591.43, 1591.43, 1591.43
10/18/16, 1587.41, 1587.41, 1587.41, 1587.41
10/17/16, 1577.66, 1577.66, 1577.66, 1577.66
10/14/16, 1582.12, 1582.12, 1582.12, 1582.12
10/13/16, 1582.54, 1582.54, 1582.54, 1582.54
10/12/16, 1588.16, 1588.16, 1588.16, 1588.16
10/11/16, 1586.59, 1586.59, 1586.59, 1586.59
10/10/16, 1607.65, 1607.65, 1607.65, 1607.65
10/07/16, 1599.29, 1599.29, 1599.29, 1599.29
10/06/16, 1605.38, 1605.38, 1605.38, 1605.38
10/05/16, 1605.59, 1605.59, 1605.59, 1605.59
10/04/16, 1598.50, 1598.50, 1598.50, 1598.50
10/03/16, 1606.58, 1606.58, 1606.58, 1606.58
09/30/16, 1612.05, 1612.05, 1612.05, 1612.05
09/29/16, 1599.14, 1599.14, 1599.14, 1599.14
09/28/16, 1614.88, 1614.88, 1614.88, 1614.88
09/27/16, 1605.80, 1605.80, 1605.80, 1605.80
09/26/16, 1596.58, 1596.58, 1596.58, 1596.58
09/23/16, 1610.02, 1610.02, 1610.02, 1610.02
09/22/16, 1619.31, 1619.31, 1619.31, 1619.31
09/21/16, 1607.22, 1607.22, 1607.22, 1607.22
09/20/16, 1589.35, 1589.35, 1589.35, 1589.35
09/19/16, 1589.83, 1589.83, 1589.83, 1589.83
09/16/16, 1588.27, 1588.27, 1588.27, 1588.27
09/15/16, 1593.99, 1593.99, 1593.99, 1593.99
09/14/16, 1577.80, 1577.80, 1577.80, 1577.80
09/13/16, 1578.84, 1578.84, 1578.84, 1578.84
09/12/16, 1603.62, 1603.62, 1603.62, 1603.62
09/09/16, 1581.05, 1581.05, 1581.05, 1581.05
09/08/16, 1622.12, 1622.12, 1622.12, 1622.12
09/07/16, 1625.85, 1625.85, 1625.85, 1625.85
09/06/16, 1624.58, 1624.58, 1624.58, 1624.58
09/02/16, 1620.17, 1620.17, 1620.17, 1620.17
09/01/16, 1612.01, 1612.01, 1612.01, 1612.01
08/31/16, 1611.74, 1611.74, 1611.74, 1611.74
08/30/16, 1615.86, 1615.86, 1615.86, 1615.86
08/29/16, 1618.42, 1618.42, 1618.42, 1618.42
08/26/16, 1609.86, 1609.86, 1609.86, 1609.86
08/25/16, 1612.66, 1612.66, 1612.66, 1612.66
08/24/16, 1613.85, 1613.85, 1613.85, 1613.85
08/23/16, 1623.27, 1623.27, 1623.27, 1623.27
08/22/16, 1619.01, 1619.01, 1619.01, 1619.01
08/19/16, 1619.14, 1619.14, 1619.14, 1619.14
08/18/16, 1621.20, 1621.20, 1621.20, 1621.20
08/17/16, 1616.49, 1616.49, 1616.49, 1616.49
08/16/16, 1614.68, 1614.68, 1614.68, 1614.68
08/15/16, 1624.55, 1624.55, 1624.55, 1624.55
08/12/16, 1618.51, 1618.51, 1618.51, 1618.51
08/11/16, 1619.60, 1619.60, 1619.60, 1619.60
08/10/16, 1612.22, 1612.22, 1612.22, 1612.22
08/09/16, 1617.51, 1617.51, 1617.51, 1617.51
08/08/16, 1616.58, 1616.58, 1616.58, 1616.58
08/05/16, 1617.83, 1617.83, 1617.83, 1617.83
08/04/16, 1603.79, 1603.79, 1603.79, 1603.79
08/03/16, 1603.26, 1603.26, 1603.26, 1603.26
08/02/16, 1597.16, 1597.16, 1597.16, 1597.16
08/01/16, 1609.07, 1609.07, 1609.07, 1609.07
07/29/16, 1611.31, 1611.31, 1611.31, 1611.31
07/28/16, 1608.27, 1608.27, 1608.27, 1608.27
07/27/16, 1605.48, 1605.48, 1605.48, 1605.48
07/26/16, 1607.67, 1607.67, 1607.67, 1607.67
07/25/16, 1605.73, 1605.73, 1605.73, 1605.73
07/22/16, 1610.49, 1610.49, 1610.49, 1610.49
07/21/16, 1602.56, 1602.56, 1602.56, 1602.56
07/20/16, 1608.48, 1608.48, 1608.48, 1608.48
07/19/16, 1600.80, 1600.80, 1600.80, 1600.80
07/18/16, 1603.77, 1603.77, 1603.77, 1603.77
07/15/16, 1600.09, 1600.09, 1600.09, 1600.09
07/14/16, 1600.97, 1600.97, 1600.97, 1600.97
07/13/16, 1593.67, 1593.67, 1593.67, 1593.67
07/12/16, 1594.32, 1594.32, 1594.32, 1594.32
07/11/16, 1582.27, 1582.27, 1582.27, 1582.27
07/08/16, 1575.76, 1575.76, 1575.76, 1575.76
07/07/16, 1550.94, 1550.94, 1550.94, 1550.94
07/06/16, 1551.38, 1551.38, 1551.38, 1551.38
