Date,EDOW,EQAL,EQWL,EUSA,EWMC,EWSC,GSEW,ISMD,QQEW,QQQE,QQXT,QTEC,RCD,RGI,RHS,RSP,RTM,RYE,RYF,RYH,RYJ,RYT,RYU,UTRN,XNTK,NOBL,ONEY,PEY,QDEF,QDF,QDIV,QDYN,RDIV,RDVY,REGL,RNDV,RNLC,RNMC,RNSC,SDOG,SDVY,SDY,SMDV,SPDV,SPHD,SPYD,TDIV,VSDA,WBIY,XSHD
04/02/2003,382.281,2396.56682,1868.89825,1868.89825,2396.56682,1487.146,1868.89825,1487.146,273.8666,273.8666,273.8666,2908.01654,176.9459,198.3899,235.5867,1868.89825,86.85181,228.9044,346.80149,316.3709,2396.56682,2908.01654,149.61,1868.89825,2908.01654,382.281,683.7867,683.7867,382.281,382.281,382.281,382.281,382.281,382.281,2396.56682,382.281,1868.89825,2396.56682,1487.146,382.281,683.7867,382.281,1487.146,382.281,382.281,382.281,2908.01654,1868.89825,683.7867,2447.196
05/02/2003,380.009,2388.82858,1859.37242,1859.37242,2388.82858,1480.292,1859.37242,1480.292,272.6971,272.6971,272.6971,2895.64811,176.4948,197.9996,234.4228,1859.37242,86.12778,226.7665,344.55546,314.5873,2388.82858,2895.64811,147.6053,1859.37242,2895.64811,380.009,681.0094,681.0094,380.009,380.009,380.009,380.009,380.009,380.009,2388.82858,380.009,1859.37242,2388.82858,1480.292,380.009,681.0094,380.009,1480.292,380.009,380.009,380.009,2895.64811,1859.37242,681.0094,2435.769
06/02/2003,376.9282,2373.01229,1847.92185,1847.92185,2373.01229,1471.343,1847.92185,1471.343,271.5356,271.5356,271.5356,2884.331,176.2732,196.917,232.4615,1847.92185,85.24617,225.5696,339.83259,314.4206,2373.01229,2884.331,146.8781,1847.92185,2884.331,376.9282,676.625,676.625,376.9282,376.9282,376.9282,376.9282,376.9282,376.9282,2373.01229,376.9282,1847.92185,2373.01229,1471.343,376.9282,676.625,376.9282,1471.343,376.9282,376.9282,376.9282,2884.331,1847.92185,676.625,2422.299
07/02/2003,373.2549,2349.65898,1829.40534,1829.40534,2349.65898,1447.349,1829.40534,1447.349,268.7424,268.7424,268.7424,2835.20142,173.8447,195.1415,230.3789,1829.40534,84.5935,223.2491,336.75961,312.563,2349.65898,2835.20142,144.5069,1829.40534,2835.20142,373.2549,669.9742,669.9742,373.2549,373.2549,373.2549,373.2549,373.2549,373.2549,2349.65898,373.2549,1829.40534,2349.65898,1447.349,373.2549,669.9742,373.2549,1447.349,373.2549,373.2549,373.2549,2835.20142,1829.40534,669.9742,2379.426
10/02/2003,375.7027,2367.60817,1842.87633,1842.87633,2367.60817,1460.717,1842.87633,1460.717,270.9315,270.9315,270.9315,2881.62045,174.6221,195.6059,232.1929,1842.87633,85.24667,226.0226,339.46305,314.9377,2367.60817,2881.62045,145.266,1842.87633,2881.62045,375.7027,675.2626,675.2626,375.7027,375.7027,375.7027,375.7027,375.7027,375.7027,2367.60817,375.7027,1842.87633,2367.60817,1460.717,375.7027,675.2626,375.7027,1460.717,375.7027,375.7027,375.7027,2881.62045,1842.87633,675.2626,2404.143
11/02/2003,371.9626,2355.08709,1828.45979,1828.45979,2355.08709,1452.135,1828.45979,1452.135,269.3721,269.3721,269.3721,2884.07068,174.5305,194.2712,228.6246,1828.45979,85.04164,224.618,335.27921,312.7332,2355.08709,2884.07068,142.5011,1828.45979,2884.07068,371.9626,669.9811,669.9811,371.9626,371.9626,371.9626,371.9626,371.9626,371.9626,2355.08709,371.9626,1828.45979,2355.08709,1452.135,371.9626,669.9811,371.9626,1452.135,371.9626,371.9626,371.9626,2884.07068,1828.45979,669.9811,2384.984
12/02/2003,366.7244,2320.57261,1805.05658,1805.05658,2320.57261,1434.105,1805.05658,1434.105,266.258,266.258,266.258,2846.62336,173.0135,191.7764,228.4423,1805.05658,83.60467,220.065,331.39621,307.3092,2320.57261,2846.62336,138.465,1805.05658,2846.62336,366.7244,660.6058,660.6058,366.7244,366.7244,366.7244,366.7244,366.7244,366.7244,2320.57261,366.7244,1805.05658,2320.57261,1434.105,366.7244,660.6058,366.7244,1434.105,366.7244,366.7244,366.7244,2846.62336,1805.05658,660.6058,2358.085
13/02/2003,366.8491,2309.04867,1801.37298,1801.37298,2309.04867,1431.722,1801.37298,1431.722,265.1046,265.1046,265.1046,2850.47132,171.0059,190.3043,228.8482,1801.37298,83.62737,220.3901,333.10606,304.8464,2309.04867,2850.47132,140.302,1801.37298,2850.47132,366.8491,659.7874,659.7874,366.8491,366.8491,366.8491,366.8491,366.8491,366.8491,2309.04867,366.8491,1801.37298,2309.04867,1431.722,366.8491,659.7874,366.8491,1431.722,366.8491,366.8491,366.8491,2850.47132,1801.37298,659.7874,2355.808
14/02/2003,373.3398,2342.40649,1837.20316,1837.20316,2342.40649,1446.797,1837.20316,1446.797,270.9409,270.9409,270.9409,2950.62364,175.5972,193.8544,232.3212,1837.20316,84.04593,222.404,340.23321,307.5045,2342.40649,2950.62364,142.1073,1837.20316,2950.62364,373.3398,667.5934,667.5934,373.3398,373.3398,373.3398,373.3398,373.3398,373.3398,2342.40649,373.3398,1837.20316,2342.40649,1446.797,373.3398,667.5934,373.3398,1446.797,373.3398,373.3398,373.3398,2950.62364,1837.20316,667.5934,2371.515
18/02/2003,379.9047,2390.88198,1874.00096,1874.00096,2390.88198,1471.138,1874.00096,1471.138,277.0056,277.0056,277.0056,3055.46844,179.0058,196.8424,233.9879,1874.00096,85.41973,225.7854,345.66921,315.1198,2390.88198,3055.46844,143.6177,1874.00096,3055.46844,379.9047,679.9412,679.9412,379.9047,379.9047,379.9047,379.9047,379.9047,379.9047,2390.88198,379.9047,1874.00096,2390.88198,1471.138,379.9047,679.9412,379.9047,1471.138,379.9047,379.9047,379.9047,3055.46844,1874.00096,679.9412,2410.032
